analysis_date,zip5,sale_properties,transitions,al_rate
2024-06-15,77573,360,15,4.166666666666666
2024-06-15,77469,314,24,7.643312101910828
2024-06-15,77406,360,29,8.055555555555555
2024-06-15,77316,320,19,5.9375
2024-07-15,77493,614,47,7.654723127035831
2024-07-15,77433,660,40,6.0606060606060606
2024-07-15,77494,408,55,13.480392156862745
2024-07-15,77354,342,15,4.385964912280701
2024-07-15,77459,339,23,6.784660766961652
2024-07-15,77449,295,38,12.88135593220339
2024-07-15,77573,281,11,3.9145907473309607
2024-07-15,77469,273,22,8.058608058608058
2024-07-15,77406,360,20,5.555555555555555
2024-07-15,77316,311,12,3.858520900321544
2024-08-15,77493,571,42,7.355516637478108
2024-08-15,77433,589,32,5.432937181663837
2024-08-15,77494,369,45,12.195121951219512
2024-08-15,77354,356,18,5.056179775280898
2024-08-15,77459,303,14,4.62046204620462
2024-08-15,77449,266,33,12.406015037593985
2024-08-15,77573,312,6,1.9230769230769231
2024-08-15,77469,281,24,8.540925266903916
2024-08-15,77406,295,26,8.813559322033898
2024-08-15,77316,267,5,1.8726591760299627
2024-09-15,77493,557,46,8.258527827648116
2024-09-15,77433,566,35,6.18374558303887
2024-09-15,77494,313,38,12.140575079872203
2024-09-15,77354,319,9,2.8213166144200628
2024-09-15,77459,333,21,6.306306306306306
2024-09-15,77449,271,35,12.915129151291513
2024-09-15,77573,328,13,3.9634146341463414
2024-09-15,77469,299,21,7.023411371237458
2024-09-15,77406,294,17,5.782312925170068
2024-09-15,77316,303,8,2.6402640264026402
2024-10-15,77493,553,50,9.041591320072333
2024-10-15,77433,556,38,6.83453237410072
2024-10-15,77494,288,25,8.680555555555555
2024-10-15,77354,326,6,1.8404907975460123
2024-10-15,77459,323,22,6.811145510835913
2024-10-15,77449,279,38,13.620071684587815
2024-10-15,77573,309,16,5.177993527508091
2024-10-15,77469,273,13,4.761904761904762
2024-10-15,77406,249,18,7.228915662650602
2024-10-15,77316,282,13,4.609929078014184
2024-11-15,77493,546,53,9.706959706959708
2024-11-15,77433,525,30,5.714285714285714
2024-11-15,77494,286,33,11.538461538461538
2024-11-15,77354,391,11,2.813299232736573
2024-11-15,77459,294,19,6.462585034013606
2024-11-15,77449,254,31,12.204724409448819
2024-11-15,77573,312,13,4.166666666666666
2024-11-15,77469,263,8,3.041825095057034
2024-11-15,77406,235,12,5.106382978723404
2024-11-15,77316,229,10,4.366812227074235
2024-12-15,77493,516,59,11.434108527131782
2024-12-15,77433,483,20,4.140786749482402
2024-12-15,77494,235,19,8.085106382978724
2024-12-15,77354,263,9,3.4220532319391634
2024-12-15,77459,217,11,5.0691244239631335
2024-12-15,77449,235,38,16.170212765957448
2024-12-15,77573,289,8,2.768166089965398
2024-12-15,77469,229,20,8.73362445414847
2024-12-15,77406,234,17,7.264957264957266
2024-12-15,77316,186,10,5.376344086021505
2025-01-15,77493,564,66,11.702127659574469
2025-01-15,77433,435,26,5.977011494252873
2025-01-15,77494,192,16,8.333333333333332
2025-01-15,77354,236,8,3.389830508474576
2025-01-15,77459,233,16,6.866952789699571
2025-01-15,77449,220,30,13.636363636363635
2025-01-15,77573,220,10,4.545454545454546
2025-01-15,77469,189,23,12.16931216931217
2025-01-15,77406,221,13,5.88235294117647
2025-01-15,77316,180,8,4.444444444444445
2025-02-15,77493,663,66,9.95475113122172
2025-02-15,77433,495,27,5.454545454545454
2025-02-15,77494,236,24,10.16949152542373
2025-02-15,77354,337,13,3.857566765578635
2025-02-15,77459,284,24,8.450704225352112
2025-02-15,77449,239,31,12.97071129707113
2025-02-15,77573,253,7,2.766798418972332
2025-02-15,77469,252,19,7.5396825396825395
2025-02-15,77406,300,16,5.333333333333334
2025-02-15,77316,214,10,4.672897196261682
2025-03-15,77493,728,61,8.379120879120878
2025-03-15,77433,564,28,4.964539007092199
2025-03-15,77494,321,24,7.476635514018691
2025-03-15,77354,386,10,2.5906735751295336
2025-03-15,77459,337,26,7.71513353115727
2025-03-15,77449,265,30,11.320754716981133
2025-03-15,77573,303,1,0.33003300330033003
2025-03-15,77469,281,15,5.338078291814947
2025-03-15,77406,324,23,7.098765432098765
2025-03-15,77316,260,8,3.076923076923077
2025-04-15,77493,816,84,10.294117647058822
2025-04-15,77433,661,31,4.689863842662632
2025-04-15,77494,476,45,9.453781512605042
2025-04-15,77354,429,6,1.3986013986013985
2025-04-15,77459,410,26,6.341463414634147
2025-04-15,77449,321,35,10.903426791277258
2025-04-15,77573,362,13,3.591160220994475
2025-04-15,77469,322,18,5.590062111801243
2025-04-15,77406,381,25,6.561679790026247
2025-04-15,77316,306,16,5.228758169934641
2025-05-15,77493,856,89,10.397196261682243
2025-05-15,77433,708,42,5.932203389830509
2025-05-15,77494,517,52,10.058027079303674
2025-05-15,77354,449,22,4.8997772828507795
2025-05-15,77459,405,36,8.88888888888889
2025-05-15,77449,320,43,13.4375
2025-05-15,77573,366,18,4.918032786885246
2025-05-15,77469,347,21,6.051873198847262
2025-05-15,77406,423,29,6.8557919621749415
2025-05-15,77316,359,13,3.6211699164345403
2025-06-15,77493,876,111,12.67123287671233
2025-06-15,77433,692,57,8.236994219653178
2025-06-15,77494,513,66,12.865497076023392
2025-06-15,77354,402,30,7.462686567164178
2025-06-15,77459,401,48,11.970074812967582
2025-06-15,77449,344,50,14.534883720930234
2025-06-15,77573,338,20,5.9171597633136095
2025-06-15,77469,364,34,9.340659340659341
2025-06-15,77406,379,37,9.762532981530343
2025-06-15,77316,395,15,3.79746835443038
2025-07-15,77493,879,128,14.562002275312855
2025-07-15,77433,673,57,8.469539375928678
2025-07-15,77494,520,78,15.0
2025-07-15,77354,378,22,5.82010582010582
2025-07-15,77459,432,38,8.796296296296296
2025-07-15,77449,349,45,12.893982808022923
2025-07-15,77573,352,20,5.681818181818182
2025-07-15,77469,376,30,7.9787234042553195
2025-07-15,77406,375,30,8.0
2025-07-15,77316,363,14,3.8567493112947657
2025-08-15,77493,840,104,12.380952380952381
2025-08-15,77433,658,48,7.29483282674772
2025-08-15,77494,480,48,10.0
2025-08-15,77354,359,28,7.7994428969359335
2025-08-15,77459,416,27,6.490384615384616
2025-08-15,77449,328,41,12.5
2025-08-15,77573,332,13,3.91566265060241
2025-08-15,77469,364,37,10.164835164835164
2025-08-15,77406,401,26,6.483790523690773
2025-08-15,77316,343,18,5.247813411078718
2025-09-15,77493,729,89,12.208504801097392
2025-09-15,77433,547,47,8.592321755027422
2025-09-15,77494,357,44,12.324929971988796
2025-09-15,77354,287,14,4.878048780487805
2025-09-15,77459,312,22,7.051282051282051
2025-09-15,77449,289,38,13.148788927335639
2025-09-15,77573,287,11,3.8327526132404177
2025-09-15,77469,284,25,8.80281690140845
2025-09-15,77406,318,25,7.861635220125786
2025-09-15,77316,321,19,5.919003115264798
2025-10-15,77493,658,89,13.5258358662614
2025-10-15,77433,507,38,7.495069033530571
2025-10-15,77494,355,39,10.985915492957748
2025-10-15,77354,278,15,5.39568345323741
2025-10-15,77459,332,30,9.036144578313253
2025-10-15,77449,283,41,14.487632508833922
2025-10-15,77573,247,6,2.42914979757085
2025-10-15,77469,256,24,9.375
2025-10-15,77406,248,16,6.451612903225806
2025-10-15,77316,348,17,4.885057471264368
2025-11-15,77493,449,55,12.24944320712695
2025-11-15,77433,398,43,10.804020100502512
2025-11-15,77494,337,38,11.275964391691394
2025-11-15,77354,264,13,4.924242424242424
2025-11-15,77459,317,25,7.886435331230284
2025-11-15,77449,305,43,14.098360655737704
2025-11-15,77573,240,9,3.75
2025-11-15,77469,206,17,8.25242718446602
2025-11-15,77406,227,14,6.167400881057269
2025-11-15,77316,278,18,6.474820143884892
2025-12-15,77493,416,42,10.096153846153847
2025-12-15,77433,344,26,7.55813953488372
2025-12-15,77494,244,28,11.475409836065573
2025-12-15,77354,202,11,5.445544554455446
2025-12-15,77459,233,17,7.296137339055794
2025-12-15,77449,255,22,8.627450980392156
2025-12-15,77573,183,12,6.557377049180328
2025-12-15,77469,173,12,6.9364161849710975
2025-12-15,77406,173,7,4.046242774566474
2025-12-15,77316,196,8,4.081632653061225
2026-01-15,77493,371,35,9.433962264150944
2026-01-15,77433,315,21,6.666666666666667
2026-01-15,77494,254,25,9.84251968503937
2026-01-15,77354,167,6,3.592814371257485
2026-01-15,77459,218,15,6.8807339449541285
2026-01-15,77449,225,25,11.11111111111111
2026-01-15,77573,153,6,3.9215686274509802
2026-01-15,77469,146,9,6.164383561643835
2026-01-15,77406,180,9,5.0
2026-01-15,77316,152,6,3.9473684210526314
